Frame,X Position(cm),Y Position(cm)
0,89.25839304059635,29.041551667515968
1,88.87824656256996,28.81346378070014
2,88.11795360651718,28.281258711463188
3,86.82545558122744,27.29287786859458
4,84.62060600867439,25.31611618285735
5,82.1876685493055,23.87155956635707
6,78.99443813388382,22.046856471830395
7,75.64914912725159,20.298182672909007
8,71.39150857335602,19.005684647619276
9,66.9818094282499,18.245391691566496
10,62.03990521390683,17.257010848697888
11,57.09800099956376,17.409069439908436
12,52.840360445668196,18.321420987171777
13,48.35463200495679,19.537889716856228
14,44.62919652029817,20.602299855330116
15,41.207878218060664,22.198915063040957
16,38.3187649850601,23.719500975146516
17,36.41803259492815,25.24008688725207
18,34.821417387217316,26.38052632133124
19,33.8330365443487,26.91273139056819
20,33.45289006632231,27.29287786859458
21,33.528919361927585,27.064789981778745
22,34.13715372676981,26.5325849125418
23,35.35362245645426,25.69626266088374
24,37.102296255375656,24.327735339988735
25,39.383175123533995,23.03523731469901
26,42.27228835653455,21.362592811382896
27,45.69360665877206,19.918036194882617
28,49.49507143903596,18.777596760803448
29,53.82874128853681,17.637157326724278
30,58.23844043364293,16.8768643706715
31,62.4960809875385,16.800835075066217
32,67.28592661067101,17.561128031118997
33,71.4675378689613,18.549508873987612
34,75.42106124043575,19.689948308066782
35,78.46223306464687,21.21053422017234
36,81.35134629764744,22.503032245462066
37,83.40413727898994,23.947588861962345
38,85.07678178230606,25.24008688725207
39,86.06516262517466,26.00037984330485
40,86.6733969900169,26.38052632133124
41,86.59736769441162,26.304497025725965
42,86.06516262517466,26.00037984330485
43,85.15281107791134,25.31611618285735
44,83.48016657459522,24.023618157567626
45,81.42737559325272,22.65509083667262
46,78.46223306464687,21.286563515777615
47,75.64914912725159,19.99406549048789
48,71.99974293819824,18.85362605640872
49,68.19827815793434,18.321420987171777
50,63.63652042161767,17.33304014430317
51,59.53093845893265,17.180981553092607
52,55.27329790503709,17.789215917934825
53,51.54786242037847,18.777596760803448
54,47.89845623132513,19.689948308066782
55,44.705225815903454,20.830387742145952
56,42.044200469718724,22.27494435864623
57,39.91538019277094,23.49141308833068
58,38.470823576270654,24.327735339988735
59,37.330384142191484,25.164057591646795
60,36.722149777349266,25.69626266088374
61,36.950237664165094,25.62023336527846
62,37.482442733402046,25.164057591646795
63,38.470823576270654,24.403764635594015
64,40.067438783981494,23.719500975146516
65,42.19625906092928,22.35097365425151
66,44.705225815903454,21.286563515777615
67,47.74639764011457,19.842006899277337
68,51.54786242037847,18.701567465198167
69,55.27329790503709,17.71318662232956
70,59.226821276511544,17.104952257487327
71,63.56049112601239,17.028922961882046
72,67.59004379309212,17.71318662232956
73,71.69562575577713,18.47347957838233
74,75.57311983164631,19.6139190124615
75,78.46223306464687,20.526270559724836
76,80.89517052401577,21.818768585014567
77,83.32810798338467,23.11126661030429
78,84.46854741746384,24.023618157567626
79,85.76104544275356,24.783911113620405
80,86.29325051199051,25.088028296041514
81,86.14119192077995,25.01199900043624
82,85.76104544275356,24.63185252240985
83,84.9247231910955,24.17567674877818
84,83.40413727898994,23.11126661030429
85,81.50340488885799,21.97082717622512
86,79.0704674294891,20.906417037751226
87,76.40944208330437,19.842006899277337
88,72.91209448546158,19.005684647619276
89,69.33871759201351,18.169362395961222
