Frame,X Position(cm),Y Position(cm)
90,65.38519422053906,17.71318662232956
91,61.73578803148572,17.71318662232956
92,58.0103525468271,18.017303804750668
93,54.284917062168475,18.929655352014002
94,50.863598759930966,19.689948308066782
95,48.05051482253568,20.830387742145952
96,45.61757736316679,21.438622106988177
97,44.02096215545595,22.883178723488456
98,42.424346947745114,23.567442383935955
99,41.35993680927122,24.25170604438346
100,40.903761035639555,24.783911113620405
101,40.903761035639555,24.783911113620405
102,41.4359661048765,24.0996474531729
103,42.424346947745114,23.567442383935955
104,43.79287426864011,22.579061541067347
105,45.69360665877206,21.59068069819873
106,48.20257341374624,20.526270559724836
107,51.243745237957356,19.6139190124615
108,54.360946357773756,18.701567465198167
109,57.93432325122182,17.789215917934825
110,61.583729440275164,17.33304014430317
111,65.15710633372322,17.180981553092607
112,69.11062970519768,17.789215917934825
113,72.60797730304047,18.549508873987612
114,75.87723701406742,19.6139190124615
115,78.69032095146271,20.298182672909007
116,80.89517052401577,21.286563515777615
117,83.25207868777939,22.503032245462066
118,84.31648882625328,23.187295905909565
119,85.60898685154301,23.87155956635707
120,85.91310403396412,24.17567674877818
121,85.91310403396412,24.0996474531729
122,85.22884037351662,23.719500975146516
123,84.39251812185856,23.339354497120127
124,83.10002009656883,22.503032245462066
125,80.81914122841049,21.362592811382896
126,78.53826236025215,20.37421196851428
127,76.10532490088326,19.689948308066782
128,72.76003589425102,18.929655352014002
129,69.56680547882935,18.09333310035595
130,65.76534069856545,17.637157326724278
131,62.344022396327944,17.637157326724278
132,58.77064550287987,17.789215917934825
133,55.5774150874582,18.701567465198167
134,52.30815537643125,19.689948308066782
135,49.95124721266763,20.222153377303727
136,47.59433904890401,21.058475628961787
137,45.76963595437734,21.742739289409286
138,44.40110863348234,22.503032245462066
139,43.41272779061372,22.959208019093737
140,43.184639903797894,23.187295905909565
141,43.33669849500845,23.03523731469901
142,43.86890356424539,22.65509083667262
143,45.16140158953512,21.742739289409286
144,46.37787031921957,21.438622106988177
145,48.27860270935152,20.526270559724836
146,50.483452281904576,19.918036194882617
147,53.144477628089305,19.385831125645666
148,56.261678747905705,18.549508873987612
149,59.75902634574849,17.71318662232956
150,63.40843253480183,17.257010848697888
151,66.75372154143406,17.180981553092607
152,70.17503984367157,18.09333310035595
153,73.14018237227741,18.701567465198167
154,76.18135419648853,19.385831125645666
155,78.69032095146271,20.450241264119562
156,80.59105334159466,21.286563515777615
157,82.26369784491077,21.97082717622512
158,83.5561958702005,22.579061541067347
159,84.240459530648,23.11126661030429
160,84.84869389549023,23.4153837927254
161,84.62060600867439,23.263325201514846
162,84.01237164383217,22.883178723488456
163,83.02399080096355,22.35097365425151
164,81.27531700204216,21.59068069819873
165,79.52664320312077,20.75435844654067
166,77.39782292617298,19.842006899277337
167,74.81282687559353,19.309801830040392
168,71.84768434698769,18.777596760803448
169,68.50239534035546,18.169362395961222
170,65.15710633372322,17.637157326724278
171,61.88784662269627,17.71318662232956
172,58.61858691166932,17.941274509145387
173,55.65344438306348,19.005684647619276
174,52.840360445668196,19.689948308066782
175,50.25536439508874,20.070094786093172
176,48.65874918737791,20.602299855330116
177,46.91007538845651,21.438622106988177
178,45.76963595437734,22.35097365425151
179,45.085372293929844,22.427002949856785
180,45.00934299832456,22.579061541067347
181,45.31346018074567,22.198915063040957
182,46.07375313679845,21.818768585014567
183,46.91007538845651,21.362592811382896
184,48.65874918737791,20.75435844654067
185,50.17933509948347,19.99406549048789
186,52.61227255885236,19.385831125645666
187,55.425356496247645,18.549508873987612
188,58.39049902485348,18.017303804750668
189,61.583729440275164,17.637157326724278
190,64.85298915130211,17.33304014430317
191,68.04621956672379,17.789215917934825
192,71.31547927775074,18.245391691566496
193,74.35665110196186,19.005684647619276
194,76.94164715254131,19.689948308066782
195,78.91840883827854,20.298182672909007
196,80.51502404598938,20.830387742145952
197,82.11163925370022,21.59068069819873
198,83.10002009656883,22.122885767435676
199,83.5561958702005,22.503032245462066
200,83.8603130526216,22.503032245462066
201,83.5561958702005,22.427002949856785
202,82.64384432293716,22.046856471830395
