Frame,Total Velocity (cm/s),Predicted Velocity (cm/s),Error(cm/s)
2.0,-36.209322607620024,-45.03288523137002,8.823562623749993
3.0,-70.91490004707211,-66.47438411502823,4.44051593204388
4.0,-87.59594479036295,-86.57490235864313,1.0210424317198203
5.0,-97.12969292775415,-104.82573853626661,7.696045608512463
6.0,-112.37094378251564,-120.73753612552777,8.36659234301213
7.0,-123.16387703962125,-133.8403153548911,10.676438315269834
8.0,-134.04895667009174,-143.6899836174166,9.64102694732486
9.0,-143.25710254762515,-149.93865949138618,6.681556943761024
10.0,-151.92650662743154,-152.31121021028568,0.38470358285414363
11.0,-138.4992660224013,-150.69068239307424,12.191416370672954
12.0,-135.62086298911268,-145.1388841844852,9.518021195372512
13.0,-128.86591140796037,-135.8963852550258,7.030473847065423
14.0,-113.70440799667439,-123.35777095049532,9.653362953820931
15.0,-107.61773246684699,-107.92886710907092,0.3111346422239336
16.0,-84.97316997402368,-90.06465256536443,5.09148259134075
17.0,-66.05747270896751,-70.24588437266708,4.1884116636995685
18.0,-46.48615493799446,-48.97389894128335,2.4877440032888885
19.0,-24.337651361660846,-26.770507075778678,2.4328557141178315
20.0,-5.114004341846159,-4.095380813684084,1.0186235281620748
21.0,15.661975687996513,18.665602658207707,3.0036269702111937
22.0,33.848480155598345,41.08435530957537,7.235875153977027
23.0,56.10668685061923,62.71292362378364,6.606236773164412
24.0,72.4308481215761,83.08348859788333,10.652640476307226
25.0,89.52102012557589,101.70836574261158,12.187345617035689
26.0,106.77104572069989,118.08641014343186,11.315364422731975
27.0,114.79355871774689,131.774486222932,16.98092750518512
28.0,127.41938340013279,142.25930964107405,14.839926240941267
29.0,136.1519268604266,149.13021503060844,12.978288170181827
30.0,129.49616737016177,152.13355194125276,22.63738457109099
31.0,137.2231361471634,151.172684839692,13.949548692528623
32.0,139.19800362072306,146.30799310957843,7.109989488855376
33.0,126.6804581319357,137.7478269899192,11.067368857983496
34.0,112.33578674986853,125.79728559158023,13.461498841711702
35.0,98.4548774666705,110.83145043707135,12.376572970400858
36.0,85.08199072715524,93.29292453347198,8.210933806316731
37.0,70.01389525200294,73.69181285797546,3.6779176059725245
