Frame,Total Velocity (cm/s),Predicted Velocity (cm/s),Error(cm/s)
110.0,107.95274339261702,150.0764741764564,42.12373078383938
111.0,113.99638253142223,151.81717942917882,37.820796897756594
112.0,115.25003292611059,149.62372610991497,34.37369318380438
113.0,105.39915503852896,143.59614101764222,38.196985979113265
114.0,95.77205287850805,133.95346371913726,38.18141084062921
115.0,77.36445289546108,120.9986929847291,43.63424008926802
116.0,78.39873277502566,105.13304545315795,26.734312678132284
117.0,58.7769211090068,86.85595563157548,28.079034522568683
118.0,40.0025666851954,66.76507589554473,26.76250921034933
119.0,29.775931663426807,45.44397557325162,15.668043909824814
120.0,4.985419408414277,23.239399794880494,18.253980386466218
121.0,-13.181972833740115,0.572823024438512,13.754795858178626
122.0,-25.828297132994123,-22.1195921571037,3.7087049758904236
123.0,-34.56140217150838,-44.39095931367676,9.829557142168383
124.0,-62.946610748901406,-65.78366815411682,2.8370574052154183
125.0,-77.9906909966398,-85.84608830874355,7.855397312103747
126.0,-72.63177591269181,-104.11561019675871,31.4838342840669
127.0,-89.78677902456413,-120.04097459682045,30.25419557225632
128.0,-101.89563763470862,-133.13352684286914,31.237889208160524
129.0,-107.42448539288328,-142.97865543357872,35.55417004069544
130.0,-109.57870291161353,-149.2357920323594,39.657089120745866
131.0,-104.85201275225019,-151.65757836715323,46.805565614903045
132.0,-102.88667825599767,-150.17189162308895,47.28521336709129
133.0,-103.13093919680396,-144.7946620042913,41.66372280748733
134.0,-87.39103399941789,-135.6834614964837,48.2924274970658
135.0,-72.44877519373325,-123.14635564473161,50.69758045099836
136.0,-67.95782666135848,-107.64190355344086,39.68407689208237
137.0,-52.34475025236119,-89.77912870065171,37.43437844829052
138.0,-40.779561527604976,-70.1056491182295,29.326087590624518
139.0,-21.013603726436084,-48.996207510876985,27.9826037844409
140.0,-1.155295152681264,-26.902140087922632,25.746844935241366
141.0,12.013688438414531,-4.27555657987774,16.28924501829227
142.0,35.66881342659862,18.430659761568172,17.238153665030445
143.0,41.881898697200505,40.76326216796284,1.118636529237662
144.0,48.99477908819657,62.318068562883326,13.323289474686753
145.0,66.7649629698871,82.62170680530592,15.856743835418825
146.0,74.20576529572071,101.16165482219625,26.955889526475545
147.0,89.14507738469426,117.44972372810122,28.304646343406958
148.0,103.42991766475473,131.02205782515279,27.59214016039806
149.0,110.71073065078578,141.43913460306467,30.728403952278896
150.0,105.45937433376255,148.31162372759897,42.852249393836416
151.0,102.79389992283018,151.38787487880458,48.5939749559744
152.0,98.95301071171454,150.5131836624708,51.560172950756254
153.0,91.92933859589702,145.7009696991196,53.77163110322259
154.0,89.07929638916298,137.13843846839492,48.05914207923195
155.0,71.8186651639276,125.1865813090615,53.36791614513389
156.0,57.53480209857649,110.31240649481876,52.77760439624227
157.0,49.27998805384562,92.94154324062524,43.661555186779616
158.0,33.74548101778086,73.54446200834343,39.79898099056257
159.0,24.073873295558535,52.60303182593602,28.529158530377487
160.0,6.848000214605629,30.609706989230897,23.761706774625267
161.0,-16.22757104570525,8.065084579734322,24.292655625439572
162.0,-26.742295728365736,-14.615134944321355,12.127160784044381
163.0,-46.309278913523414,-37.025974145323936,9.283304768199478
164.0,-58.646358475195946,-58.72211237104296,0.07575389584701497
165.0,-63.20282711558544,-79.24260667863537,16.039779563049926
166.0,-73.95279298803668,-98.1108918346409,24.15809884660422
167.0,-84.68485349565628,-114.83478031498656,30.149926819330275
168.0,-97.08530147862119,-128.91831943605214,31.833017957430954
169.0,-103.15052502747398,-139.94372667660426,36.79320164913028
170.0,-99.3918651702632,-147.46114038479897,48.069275214535764
171.0,-98.65399380749493,-151.15553328433927,52.50153947684434
172.0,-96.08191650304975,-150.88377977720157,54.80186327415181
173.0,-91.17281592345617,-146.67465594363625,55.50184002018008
174.0,-84.27771293181178,-138.72883954216792,54.45112661035614
175.0,-62.912503517431254,-127.37405190714836,64.46154838971711
176.0,-53.37048618374449,-112.97823792388037,59.60775174013588
177.0,-53.41879123728448,-95.97320250703943,42.55441126975495
178.0,-31.104374761689677,-76.83127730954442,45.72690254785474
179.0,-11.516987727686155,-56.06517857636746,44.5481908486813
180.0,4.98541940841434,-34.227566043738754,39.21298545215309
181.0,20.892228845356403,-11.784826602098706,32.67705544745511
182.0,25.830392026986214,10.890165979526,14.940226047460214
183.0,42.53442314827593,33.37291001223974,9.161513136036184
184.0,53.41980416222188,55.21992489869161,1.8001207364697294
185.0,61.21060920011431,75.96875113308016,14.758141932965849
186.0,83.48945260000328,95.13795030114896,11.648497701145686
187.0,89.59614016630071,112.24215500366682,22.64601483736611
188.0,93.41937380111273,126.82552992393227,33.40615612281954
189.0,98.3313255666119,138.35270839931667,40.021382832704774
190.0,96.89543367810444,146.40106292017225,49.50562924206781
191.0,98.36580372067122,150.68744020939317,52.32163648872195
192.0,97.66764958608033,151.06816122241386,53.40051163633353
193.0,88.222542311273,147.53949288422805,59.31695057295505
194.0,70.88335472413392,140.25379172807098,69.37043700393706
195.0,54.5437951028822,129.4675216472068,74.92372654432461
196.0,52.30510936491701,115.51747798691272,63.212368621995715
197.0,44.9334476701941,98.82900314362362,53.895555473429525
198.0,24.865517256116753,79.9159865649348,55.050469308818045
199.0,12.828318369823002,59.380864749598516,46.552546379775514
200.0,1.7510621150156014,37.761558424590135,36.010496309574535
