Frame,X Velocity(cm/s),Y Velocity(cm/s),Total Velocity(cm/s),Predicted Velocity(cm/s)
89,-113.7676825306229,-20.512370139077078,-115.60208872295993,-145.70693582882413
90,-114.7173292963209,-6.647527359886081,-114.90977008453615,-150.7295738446901
91,-109.77916611469134,4.178445769071256,-109.85865792864058,-151.8184500883205
92,-112.62810641178541,19.37279402023957,-114.2820874067983,-148.93130591165595
93,-108.63958999585383,25.64046267384657,-111.62434250913257,-142.20221388945833
94,-93.6351710978249,29.439049736638676,-98.15397554819279,-131.92843542094414
95,-79.20054025921499,25.070674614427826,-83.07384849020809,-118.46964857602731
96,-59.44788753269613,31.33834326803472,-67.2022551026769,-102.24979409834937
97,-47.1024795786219,33.99735421198905,-58.090134066551634,-83.73462030062872
98,-41.404598984433754,18.992935313960505,-45.55296267974302,-63.42659965417457
99,-22.601593023612928,19.56272337337934,-29.892008179250706,-41.864928788886814
100,-6.647527359886081,9.306538303840552,-11.436838514261071,-19.543500954240674
101,7.977032831863379,-11.965549247795131,14.380800450671614,3.1558050351223064
102,23.17138108303173,-18.803005960820894,29.840675837818196,25.81273324837402
103,35.136930330826715,-22.411663670473175,41.675970793153425,47.98795519410751
104,48.43198505059904,-30.5786258554762,57.27747842870395,69.22309994285851
105,66.09541489258234,-31.14841391489527,73.06728104450197,89.0407541271053
106,84.51856214712394,-29.818908442917934,89.6245203509864,106.95356889396757
107,92.49559497898738,-26.969968145823763,96.34736256018441,122.51048477311174
108,100.28269845771109,-28.489402970940795,104.25097453549708,135.16510641336797
109,109.58923676155169,-21.27208755163556,111.6346833326627,144.46174006151915
110,107.50001387701589,-9.876326363259299,107.95274339261702,150.0764741764564
111,113.76768253062296,7.217315419304721,113.99638253142223,151.81717942917882
112,113.19789447120445,21.651946257914943,115.25003292611059,149.62372610991497
113,101.42227457654865,28.679332324080335,105.39915503852896,143.59614101764222
114,92.11573627270805,26.210250733265422,95.77205287850805,133.95346371913726
115,73.69258901816652,23.5512397893109,77.36445289546108,120.9986929847291
116,70.083931308514,35.13693033082677,78.39873277502566,105.13304545315795
117,51.09099599455353,29.05919103035947,58.7769211090068,86.85595563157548
118,34.56714227140794,20.132511432798122,40.0025666851954,66.76507589554473
119,25.260603967567544,15.764136310587201,29.775931663426807,45.44397557325162
120,3.798587062791945,3.228799003373146,4.985419408414277,23.239399794880494
121,-10.636043775817745,-7.787103478723715,-13.181972833740115,0.572823024438512
122,-23.36131043617125,-11.015902482096896,-25.828297132994123,-22.1195921571037
123,-29.81890844291797,-17.47350048884365,-34.56140217150838,-44.39095931367676
124,-54.69965370420615,-31.148413914895198,-62.946610748901406,-65.78366815411682
125,-70.46379001479329,-33.42756615257039,-77.9906909966398,-85.84608830874355
126,-68.37456713025729,-24.500886555008936,-72.63177591269181,-104.11561019675871
127,-87.36750244421818,-20.702299492216795,-89.78677902456413,-120.04097459682045
128,-98.76326363259437,-25.070674614427684,-101.89563763470862,-133.13352684286914
129,-105.41079099248024,-20.70229949221683,-107.42448539288328,-142.97865543357872
130,-109.39930740841211,-6.2676686536069655,-109.57870291161353,-149.2357920323594
131,-104.84100293306174,1.5194348251166787,-104.85201275225019,-151.65757836715323
132,-101.61220392968838,16.143995016866317,-102.88667825599767,-150.17189162308895
133,-98.1934755731753,31.528272621174473,-103.13093919680396,-144.7946620042913
134,-84.51856214712392,22.221734317333688,-87.39103399941789,-135.6834614964837
135,-69.70407260223497,19.752652726518882,-72.44877519373325,-123.14635564473161
136,-63.816262654907,23.361310436171358,-67.95782666135848,-107.64190355344086
137,-47.48233828490107,22.03180496419404,-52.34475025236119,-89.77912870065171
138,-36.08657709652485,18.992935313960505,-40.779561527604976,-70.1056491182295
139,-18.23321790140192,10.446114422678185,-21.013603726436084,-48.996207510876985
140,-0.1899293531394872,1.1395761188375444,-1.155295152681264,-26.902140087922632
141,9.3065383038405,-7.597174125584103,12.013688438414531,-4.27555657987774
142,28.489402970940652,-21.46201690477528,35.66881342659862,18.430659761568172
143,37.79594127478122,-18.043288548262343,41.881898697200505,40.76326216796284
144,45.77297410664469,-17.47350048884365,48.99477908819657,62.318068562883326
145,62.106898476650535,-24.500886555008954,66.7649629698871,82.62170680530592
146,72.55301289932888,-15.574206957447519,74.20576529572071,101.16165482219625
147,86.79771438479922,-20.32244078593775,89.14507738469426,117.44972372810122
148,99.9028397514319,-26.780038792684007,103.42991766475473,131.02205782515279
149,108.82951934899324,-20.322440785937644,110.71073065078578,141.43913460306467
150,105.03093228620119,-9.496467656980359,105.45937433376255,148.31162372759897
151,101.80213328282794,14.244701485470397,102.79389992283018,151.38787487880458
152,95.72439398236051,25.07067461442779,98.95301071171454,150.5131836624708
153,90.216442741312,17.66342984198303,91.92933859589702,145.7009696991196
154,84.89842085340334,26.969968145823866,89.07929638916298,137.13843846839492
155,65.33569748002411,29.81890844291788,71.8186651639276,125.1865813090615
156,52.990289525949464,22.4116636704733,57.53480209857649,110.31240649481876
157,45.39311540036536,19.182864667100173,49.27998805384562,92.94154324062524
158,28.869261677219768,17.473500488843634,33.74548101778086,73.54446200834343
159,19.9425820796586,13.484984072911846,24.073873295558535,52.60303182593602
160,6.457598006746683,2.279152237675231,6.848000214605629,30.609706989230897
161,-13.674913426051635,-8.73675024442179,-16.22757104570525,8.065084579734322
162,-22.981451729892203,-13.674913426051475,-26.742295728365736,-14.615134944321355
163,-41.97438704385267,-19.562723373379217,-46.309278913523414,-37.025974145323936
164,-53.370148232228686,-24.31095720186938,-58.646358475195946,-58.72211237104296
165,-56.97880594188127,-27.349826852103075,-63.20282711558544,-79.24260667863537
166,-70.65371936793301,-21.841875611054466,-73.95279298803668,-98.1108918346409
167,-83.37898602828616,-14.814489544889108,-84.68485349565628,-114.83478031498656
168,-95.53446462922072,-17.28357113570397,-97.08530147862119,-128.91831943605214
169,-101.42227457654886,-18.803005960820858,-103.15052502747398,-139.94372667660426
170,-99.14312233887354,-7.027386066165269,-99.3918651702632,-147.46114038479897
171,-98.57333427945457,3.988516415931663,-98.65399380749493,-151.15553328433927
172,-93.82510045096454,20.702299492216707,-96.08191650304975,-150.88377977720157
173,-86.41785567851993,29.059191030359507,-91.17281592345617,-146.67465594363625
174,-82.99912732200723,14.624560191749621,-84.27771293181178,-138.72883954216792
175,-61.72703977037147,12.1554786009346,-62.912503517431254,-127.37405190714836
176,-49.191702463157505,20.70229949221692,-53.37048618374449,-112.97823792388037
177,-44.823327340946655,29.05919103035949,-53.41879123728448,-95.97320250703943
178,-27.349826852102968,14.814489544888984,-31.104374761689677,-76.83127730954442
179,-11.205831835236667,2.659010943954525,-11.516987727686155,-56.06517857636746
180,3.798587062791998,-3.2287990033731817,4.98541940841434,-34.227566043738754
181,16.71378307628508,-12.535337307213895,20.892228845356403,-11.784826602098706
182,22.79152237675252,-12.155478600934725,25.830392026986214,10.890165979526
183,39.505305453037764,-15.764136310587272,42.53442314827593,33.37291001223974
184,49.001773110018,-21.272087551635703,53.41980416222188,55.21992489869161
185,57.73852335443968,-20.322440785937662,61.21060920011431,75.96875113308016
186,80.5300457311922,-22.031804964194077,83.48945260000328,95.13795030114896
187,86.98764373793871,-21.462016904775208,89.59614016630071,112.24215500366682
188,92.49559497898734,-13.105125366632693,93.41937380111273,126.82552992393227
189,97.6236875137567,-11.775619894655414,98.3313255666119,138.35270839931667
190,96.86397010119829,2.4690815908147004,96.89543367810444,146.40106292017225
191,97.24382880747751,14.814489544888984,98.36580372067122,150.68744020939317
192,95.91432333550006,18.42314725454169,97.66764958608033,151.06816122241386
193,85.27827955968228,22.60159302361298,88.222542311273,147.53949288422805
194,68.18463777711781,19.372794020239784,70.88335472413392,140.25379172807098
195,52.04064276025155,16.333924370005928,54.5437951028822,129.4675216472068
196,48.43198505059932,19.752652726518846,52.30510936491701,115.51747798691272
197,40.075093512456455,20.322440785937644,44.9334476701941,98.82900314362362
198,20.512370139077078,14.05477213233068,24.865517256116753,79.9159865649348
199,11.585690541515874,5.507951241048519,12.828318369823002,59.380864749598516
200,1.1395761188377398,-1.3295054719773156,1.7510621150156014,37.761558424590135
