Frame,Total Acceleration (cm/s^2),Predicted Acceleration (cm/s^2),Error(cm/s^2)
113.0,-297.75420549434926,-237.3895386338652,60.36466686048408
114.0,-468.2110871146189,-341.37565573383745,126.83543138078147
115.0,-230.73601723278708,-433.1656097206417,202.42959248785465
116.0,-232.15104823956207,-510.829224027819,278.6781757882569
117.0,-648.4607605645768,-573.5440715395034,74.91668902507342
118.0,-396.1863643099881,-621.3286384600651,225.14227415007701
119.0,-520.0517320938355,-654.7801752974569,134.7284432036214
120.0,-694.0551310561555,-674.6715507467645,19.383580309390936
121.0,-455.0862339423889,-681.4653296468063,226.37909570441735
122.0,-257.56338758360357,-675.3350687415713,417.7716811579677
123.0,-579.9051548239088,-656.0951755385125,76.19002071460375
124.0,-751.0081339973257,-623.2647329641238,127.74340103320185
125.0,-55.5977416419247,-576.2323623655757,520.634620723651
126.0,-138.44431128996104,-514.3919600040665,375.94764871410547
127.0,-511.30539587709336,-437.63280213193275,73.67259374516061
128.0,-260.1896964626676,-346.6844153102186,86.49471884755098
129.0,-115.91041030198761,-243.38593306318393,127.47552276119632
130.0,53.88623146326093,-130.81531484580296,184.70154630906387
131.0,123.01343562543309,-13.128330871613503,136.1417664970466
132.0,-21.03176801397821,105.09955301459014,126.13132102856835
133.0,228.73150978849387,219.0898561264852,9.641653662008679
134.0,525.9227247681736,324.6498644425188,201.2728603256548
135.0,261.50056790924083,418.53916666610746,157.03859875686663
136.0,285.33565427345945,498.6085883804514,213.27293410699195
137.0,414.66323519228763,563.7446830443732,149.0814478520856
138.0,459.26867093549436,613.9149052975159,154.64623436202157
139.0,631.1111162894975,649.6979995980205,18.586883308522943
140.0,469.06955019166116,671.7154414467543,202.64589125509315
141.0,578.8049269454868,680.5339044214674,101.72897747598051
142.0,471.6317228138175,676.45176098421,204.82003817039248
143.0,129.54298827579603,659.4140296344566,529.8710413586606
144.0,401.0151064578524,628.9973675480857,227.98226109023324
145.0,385.7695277894835,584.445193820576,198.67566603109253
146.0,311.27862471481257,525.08698475535,213.80836004053748
147.0,474.2593407990404,450.7148037462741,23.544537052766316
148.0,352.91168538930947,361.9470069569941,9.035321567684605
149.0,6.462181442814536,260.53411393007116,254.07193248725662
150.0,-147.0329585715331,149.4208220667493,296.4537806382824
151.0,-83.11082955407625,32.42368497631578,115.53451453039203
152.0,-176.20754111571296,-85.837504919401,90.37003619631196
153.0,-119.94533187810961,-200.6779354075038,80.7326035293942
154.0,-298.4418547923066,-307.8136623083035,9.37180751599692
155.0,-523.8696385183299,-403.7202885523926,120.14934996593729
156.0,-312.20248673777695,-486.0187380950513,173.81625135727433
157.0,-356.15462783299523,-553.6300551838198,197.47542735082453
158.0,-377.1195937938495,-606.2775331392214,229.15793934537191
159.0,-373.89746266109637,-644.3512273692293,270.4537647081329
160.0,-654.313752722998,-668.5458468923621,14.232094169364132
161.0,-495.47268024562726,-679.5452981876382,184.07261794201094
162.0,-437.5667706540911,-677.7972172618823,240.23044660779124
163.0,-520.248986741645,-663.1464196575599,142.89743291591492
164.0,-219.67829793907904,-635.0555758034589,415.37727786437983
165.0,-210.03063968051242,-592.8156787720515,382.78503909153903
166.0,-333.2906771556146,-535.8032026804364,202.51252552482174
167.0,-362.5062990478419,-463.82642366896897,101.32012462112709
168.0,-305.48432266361806,-377.47107449112974,71.98675182751168
169.0,-11.199938251537919,-278.1533118876141,266.9533736360762
170.0,87.35598318551179,-168.54267087368194,255.89865405919375
171.0,36.22725569354737,-52.3271982955863,88.55445398913366
172.0,111.75351533060811,66.09190340845188,45.661611922156226
173.0,146.61927049468028,181.98269777835557,35.36342728367529
174.0,458.0806415331948,290.73400641017747,167.34663512301734
175.0,523.3629861352082,388.627500275403,134.73548585980518
176.0,56.89779578688259,473.3070496649663,416.40925387808375
177.0,316.5935953339048,543.3601415482773,226.7665462143725
178.0,691.6223498858983,598.4135260647294,93.20882382116895
179.0,535.6125660999479,638.808328323666,103.19576222371813
180.0,505.4644868476103,665.2375412475799,159.77305439996957
181.0,281.55762395126624,678.4658003173652,396.9081763660989
182.0,311.52192271726767,678.8336020577693,367.31167934050166
183.0,450.65088962870595,666.2483687446522,215.59747911594627
184.0,229.20243139862004,640.2887900525697,411.0863586539496
185.0,483.37248493410084,600.3249832309241,116.95249829682325
186.0,467.35763641103796,545.7651121973331,78.40747578629515
187.0,105.71654481441891,476.3623891146119,370.645844300193
188.0,141.0818751025596,392.3803015951538,251.29842649259422
189.0,47.561007587553874,295.11756817047035,247.55656058291646
190.0,-9.923608496008326,186.9852166523592,196.90882514836753
191.0,40.68545398424063,71.48464873282822,30.79919474858759
192.0,-137.7306893716958,-46.97880990158058,90.75187947011523
193.0,-425.80829365380873,-163.4717132842427,262.33658036956604
194.0,-559.7445447173947,-273.5136321560309,286.23091256136377
195.0,-263.1428199604589,-373.3589547895516,110.21613482909271
196.0,-77.10394290576016,-460.2626146079028,383.1586717021426
197.0,-444.16666044907754,-532.6894211647092,88.52276071563165
198.0,-515.3270685882833,-590.139921868802,74.81285328051877
