Frame,Time (s),Acceleration (cm/s^2),Velocity (cm/s)
0,0.0,-683.5751922556294,0.0
1,0.03335858585858586,-677.1548591367159,-22.731823894217438
2,0.06671717171717172,-657.6850872268216,-45.03288523137002
3,0.10007575757575757,-624.6280461998222,-66.47438411502823
4,0.13343434343434343,-577.2537165398369,-86.57490235864313
5,0.16679292929292927,-514.9491805575802,-104.82573853626661
6,0.20015151515151514,-437.62664315685095,-120.73753612552777
7,0.233510101010101,-346.0842198733915,-133.8403153548911
8,0.26686868686868687,-242.27231057068684,-143.6899836174166
9,0.30022727272727273,-129.227342950201,-149.93865949138618
10,0.33358585858585854,-11.081024849462358,-152.31121021028568
11,0.3669444444444444,107.51078778818946,-150.69068239307424
12,0.40030303030303027,221.86585060242504,-145.1388841844852
13,0.43366161616161614,327.7177492579015,-135.8963852550258
14,0.467020202020202,421.6635485929377,-123.35777095049532
15,0.5003787878787879,501.6960378602807,-107.92886710907092
16,0.5337373737373737,566.8012342209842,-90.06465256536443
17,0.5670959595959596,616.8940063903268,-70.24588437266708
18,0.6004545454545455,652.4899261041049,-48.97389894128335
19,0.6338131313131312,674.3411488991533,-26.770507075778678
20,0.6671717171717171,683.1656517548437,-4.095380813684084
21,0.700530303030303,679.1837877277347,18.665602658207707
22,0.7338888888888888,662.1508979321393,41.08435530957537
23,0.7672474747474747,631.5151262436341,62.71292362378364
24,0.8006060606060605,586.5808030542867,83.08348859788333
25,0.8339646464646464,526.7927291623281,101.70836574261158
26,0.8673232323232323,452.0849593152554,118.08641014343186
27,0.9006818181818181,363.01961886229634,131.774486222932
28,0.934040404040404,261.27404045208175,142.25930964107405
29,0.9673989898989899,149.67773597007564,149.13021503060844
30,1.0007575757575757,32.07119035552132,152.13355194125276
31,1.0341161616161616,-86.95253133738561,151.172684839692
32,1.0674747474747475,-202.4592249701171,146.30799310957843
33,1.1008333333333333,-309.9875633178213,137.7478269899192
34,1.1341919191919192,-406.2103418724138,125.79728559158023
35,1.167550505050505,-488.7462001175968,110.83145043707135
36,1.200909090909091,-556.4242626135338,93.29292453347198
37,1.2342676767676768,-609.0522055886208,73.69181285797546
38,1.2676262626262624,-647.0767666699007,52.605722357889086
39,1.3009848484848483,-671.277542847672,30.582506549817587
40,1.3343434343434342,-682.3228979665143,7.97411233200063
41,1.36770202020202,-680.4526275536498,-14.802511839186797
42,1.401060606060606,-665.5580795034839,-37.31170027663813
43,1.4344191919191918,-637.1967721639552,-59.101450798434094
44,1.4677777777777776,-594.7428029144859,-79.70342472784283
45,1.5011363636363635,-537.637768378026,-98.64405668661733
46,1.5344949494949494,-465.5593400094929,-115.46621175689828
47,1.5678535353535352,-378.9332711736105,-129.61068694512255
48,1.601212121212121,-279.20385319354483,-140.59894950503914
49,1.634570707070707,-168.9845298686883,-148.0626107286929
50,1.6679292929292928,-52.04879722440453,-151.74342594642445
51,1.7012878787878787,66.91062704968249,-151.49574099695084
52,1.7346464646464645,183.1648193661083,-147.3472414095808
53,1.7680050505050504,292.240679393704,-139.43942703124634
54,1.8013636363636363,390.4757394141569,-128.01692659534376
55,1.8347222222222221,475.370012508281,-113.44521432709662
56,1.868080808080808,545.5751656204766,-96.21060994355565
57,1.9014393939393939,600.7024455244886,-76.92027865359896
58,1.9347979797979797,641.1307215183793,-56.170958399030035
59,1.9681565656565656,667.6368559619782,-34.31110911941687
60,2.0015151515151515,680.8007158013958,-11.771591001949533
61,2.0348737373737373,680.9874860553631,11.006987974671324
62,2.068232323232323,668.2157239399893,33.57783086295367
63,2.101590909090909,642.1574971985627,55.487951746614115
64,2.134949494949495,602.23526796854,76.30148158092278
65,2.168308080808081,547.7215630177508,95.5550461033713
66,2.2016666666666667,478.19917110903873,112.70787656463227
67,2.2350252525252525,393.9392589497724,127.26641922218272
68,2.2683838383838384,296.2293592918136,138.78848211015892
69,2.3017424242424243,187.59082071466148,146.8832350393564
70,2.33510101010101,71.70961388541568,151.2335162969876
71,2.368459595959596,-47.05248153156932,151.67892700209623
72,2.401818181818182,-163.87577128173953,148.17079295415903
73,2.4351767676767677,-274.26042198238713,140.8196097196148
74,2.4685353535353536,-374.44654149324344,129.89959397743712
75,2.501893939393939,-461.6604171800817,115.84868351913464
76,2.535252525252525,-534.3095140939821,99.19886178220179
77,2.5686111111111107,-592.0019741604441,80.38235249315964
78,2.6019696969696966,-634.9283815652436,59.86836658589963
79,2.6353282828282825,-663.7014066072614,38.130846064230106
80,2.6686868686868683,-679.0173132511896,15.646021403801353
81,2.702045454545454,-681.3930701858948,-7.1076431916021585
82,2.73540404040404,-671.0141751723222,-29.71418606947139
83,2.768762626262626,-647.4880916810251,-51.76050838791606
84,2.802121212121212,-610.0881455115949,-72.77705883326124
85,2.8354797979797977,-558.0707784997747,-92.28887938456788
86,2.8688383838383835,-490.9938438207716,-109.81560531363274
87,2.9021969696969694,-409.0899541742787,-124.87146518498858
